[2026-03-24 20:42:41] [INFO    ] discord.client: logging in using static token
[2026-03-24 20:42:41] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-03-24 20:42:41] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-03-24 20:42:41] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1486064893735206952', 'username': 'MedBot', 'avatar': '7b44e988e900367b0cd7cfd7c79c1d77', 'discriminator': '8678', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-03-24 20:42:42] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-03-24 20:42:42] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-03-24 20:42:42] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1486064893735206952', 'name': 'MedBot', 'icon': '7b44e988e900367b0cd7cfd7c79c1d77', 'description': 'MedBot!!!', 'type': None, 'bot': {'id': '1486064893735206952', 'username': 'MedBot', 'avatar': '7b44e988e900367b0cd7cfd7c79c1d77', 'discriminator': '8678', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'a326442f412d8b7d4748a98388bfb207d5f3176896819ed617cff1a00b9c82b3', 'flags': 557056, 'tags': ['medication'], 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '695987407098478672', 'username': '.billeh.', 'avatar': 'a95fbea3ad25f65a3f7f4272b11985a3', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 11512551, 'global_name': 'News', 'avatar_decoration_data': {'asset': 'a_c3cffc19e9784f7d0b005eecdf1b566e', 'sku_id': '1212569433839636530', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1382845914292686929', 'asset': 'nameplates/nameplates_v3/oasis/', 'label': 'COLLECTIBLES_NAMEPLATES_VOL_3_OASIS_A11Y', 'palette': 'berry'}}, 'display_name_styles': None, 'banner_color': '#afaae7', 'clan': {'identity_guild_id': '304720234156392448', 'identity_enabled': True, 'tag': 'F&H', 'badge': 'c08ecb1ef98d938294b1db84ca629ef7'}, 'primary_guild': {'identity_guild_id': '304720234156392448', 'identity_enabled': True, 'tag': 'F&H', 'badge': 'c08ecb1ef98d938294b1db84ca629ef7'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 230, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 2, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-03-24 20:42:42] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-03-24 20:42:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-1qsh",{"micros":0.0}]']}}
[2026-03-24 20:42:42] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-03-24 20:42:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
